lsoa,imd_score
E01001168,22.724
E01001169,27.071
E01001170,30.178
E01001171,24.29
E01001172,36.186
E01001173,21.406
E01001174,21.546
E01001175,30.522
E01001176,32.401
E01001177,30.475
E01001178,70.076
E01001179,23.167
E01001180,30.812
E01001181,48.183
E01001182,21.932
E01001183,32.818
E01001184,16.444
E01001185,23.148
E01001186,32.502
E01001187,25.842
E01001188,29.049
E01001189,14.722
E01001190,19.294
E01001191,36.133
E01001192,26.155
E01001193,29.99
E01001194,16.156
E01001195,17.642
E01001196,36.527
E01001197,22.347
E01001198,15.188
E01001199,26.806
E01001200,16.431
E01001201,15.335
E01001202,34.707
E01001203,36.824
E01001204,14.279
E01001205,35.263
E01001206,55.428
E01001207,15.668
E01001208,8.745
E01001209,9.757
E01001210,47.467
E01001211,12.48
E01001212,14.574
E01001213,32.593
E01001214,22.956
E01001215,39.523
E01001216,30.969
E01001217,20.567
E01001218,37.425
E01001219,41.953
E01001220,40.38
E01001223,11.651
E01001224,8.557
E01001225,21.546
E01001226,12.401
E01001227,12.717
E01001228,14.215
E01001229,27.937
E01001230,18.833
E01001231,13.454
E01001232,23.235
E01001233,21.533
E01001234,22.48
E01001235,14.983
E01001236,15.344
E01001237,14.175
E01001239,37.151
E01001240,30.957
E01001241,24.584
E01001242,22.717
E01001243,23.675
E01001244,25.25
E01001245,18.722
E01001246,35.283
E01001247,30.8
E01001248,20.782
E01001249,36.792
E01001250,42.907
E01001251,21.054
E01001252,31.785
E01001253,21.028
E01001254,15.958
E01001255,13.677
E01001257,40.531
E01001258,22.347
E01001259,25.796
E01001260,25.215
E01001261,30.838
E01001262,32.981
E01001263,35.515
E01001264,27.734
E01001265,23.522
E01001266,20.301
E01001267,32.127
E01001268,18.712
E01001269,20.711
E01001270,19.469
E01001271,28.793
E01001272,25.01
E01001273,13.189
E01001274,12.077
E01001275,19.703
E01001276,34.565
E01001277,26.609
E01001278,27.455
E01001279,4.974
E01001280,14.638
E01001281,9.129
E01001282,33.123
E01001283,35.149
E01001284,17.43
E01001285,30.717
E01001286,28.368
E01001287,28.111
E01001288,21.623
E01001289,20.875
E01001290,20.793
E01001291,25.694
E01001292,19.948
E01001293,25.899
E01001294,28.773
E01001295,24.256
E01001296,30.609
E01001297,32.552
E01001298,31.323
E01001299,11.328
E01001300,10.283
E01001301,20.213
E01001302,11.543
E01001303,13.175
E01001304,14.16
E01001305,7.264
E01001306,10.231
E01001307,20.211
E01001308,14.063
E01001309,20.856
E01001310,18.856
E01001311,28.883
E01001312,21.418
E01001313,19.787
E01001314,17.558
E01001315,23.467
E01001316,34.719
E01001317,30.412
E01001318,38.77
E01001319,19.341
E01001320,44.288
E01001321,29.47
E01001322,29.725
E01001323,31.715
E01001324,36.886
E01001325,27.647
E01001326,35.508
E01001327,32.938
E01001328,37.526
E01001329,30.221
E01001330,48.226
E01001331,43.609
E01001332,37.924
E01001333,43.622
E01001334,40.142
E01001335,24.162
E01001336,26.316
E01001337,26.624
E01001338,33.325
E01001339,27.164
E01001340,48.834
E01001341,22.979
E01001342,23.777
E01001343,19.71
E01001344,29.431
E01001345,24.327
E01001346,27.999
E01001347,27.654
E01001348,34.972
E01001349,35.848
E01001350,15.094
E01001351,29.092
E01001352,16.213
E01001353,21.292
E01001354,21.619
E01001355,23.669
E01001356,49.112
E01001357,17.643
E01001358,22.508
E01001359,34.752
E01001360,26.768
E01001361,45.091
E01001362,37.563
E01001363,31.829
E01001364,41.101
E01001365,30.733
E01001366,35.877
E01001367,40.135
E01001368,33.6
E01001369,41.196
E01001370,31.771
E01001371,37.956
E01001372,33.491
E01001373,32.811
E01001374,10.567
E01001375,7.083
E01001376,22.513
E01001377,10.901
E01001379,6.913
E01001380,7.982
E01001381,21.893
E01001382,8.455
E01001383,13.367
E01001384,13.159
E01001385,11.863
E01001386,11.847
E01001387,17.723
E01001388,38.08
E01001389,28.767
E01001390,16.795
E01001391,31.163
E01001392,11.585
E01001393,26.261
E01001394,29.589
E01001395,37.748
E01001396,23.231
E01001397,32.752
E01001398,7.523
E01001399,11.804
E01001400,12.363
E01001401,15.276
E01001402,12.07
E01001403,16.668
E01001404,20.034
E01001405,15.568
E01001406,26.791
E01001407,18.978
E01001408,16.056
E01001409,38.461
E01001410,40.318
E01001411,18.252
E01001412,28.161
E01001413,8.742
E01001414,41.835
E01001415,18.197
E01001416,4.939
E01001417,4.794
E01001418,21.217
E01001419,20.055
E01001420,22.999
E01001421,20.68
E01001422,5.48
E01001423,37.772
E01001424,52.203
E01001425,59.541
E01001426,48.149
E01001427,49.55
E01001428,43.91
E01001429,61.175
E01001430,47.371
E01001431,51.842
E01001432,52.508
E01001433,47.401
E01001434,32.107
E01001435,29.544
E01001436,33.8
E01001437,46.668
E01001438,41.06
E01001439,51.294
E01001440,43.519
E01001441,43.529
E01001442,57.045
E01001444,32.352
E01001445,34.411
E01001446,37.859
E01001447,49.561
E01001448,36.141
E01001449,33.813
E01001450,25.674
E01001451,13.917
E01001452,6.641
E01001453,5.026
E01001454,7.924
E01001455,9.557
E01001456,4.341
E01001457,15.55
E01001458,48.005
E01001459,33.859
E01001460,49.247
E01001461,61.808
E01001462,43.951
E01001463,29.617
E01001464,38.655
E01001465,34.838
E01001466,38.259
E01001467,36.626
E01001468,21.748
E01001469,18.781
E01001470,10.598
E01001471,15.671
E01001472,12.94
E01001473,12.87
E01001474,10.854
E01001475,3.555
E01001476,38.73
E01001477,36.488
E01001478,24.254
E01001479,51.798
E01001480,34.286
E01001481,35.811
E01001482,45.709
E01001483,60.116
E01001484,31.676
E01001485,47.944
E01001486,48.67
E01001487,45.958
E01001488,45.859
E01001489,42.619
E01001491,44.036
E01001492,38.985
E01001493,27.517
E01001494,16.974
E01001495,19.085
E01001496,14.343
E01001497,23.26
E01001498,25.761
E01001499,24.004
E01001500,19.918
E01001501,31.473
E01001502,37.888
E01001503,34.947
E01001504,29.665
E01001505,36.031
E01001507,44.612
E01001508,41.235
E01001509,46.077
E01001511,26.549
E01001512,21.545
E01001513,44.271
E01001514,24.344
E01001515,43.914
E01001516,33.067
E01001517,49.475
E01001518,21.993
E01001520,17.789
E01001521,9.74
E01001522,18.613
E01001523,10.828
E01001524,21.494
E01001525,18.448
E01001526,8.405
E01001527,18.817
E01001528,33.553
E01001529,36.202
E01001530,24.03
E01001531,5.907
E01001532,8.057
E01001533,5.207
E01001534,15.574
E01001535,12.227
E01001536,22.423
E01001537,16.824
E01001538,7.099
E01001539,12.936
E01001540,16.45
E01001541,8.338
E01001542,22.785
E01001543,9.53
E01001544,10.742
E01001545,46.973
E01001546,37.055
E01001547,35.677
E01001548,37.974
E01001549,49.52
E01001550,37.124
E01001551,48.122
E01001552,30.546
E01001553,40.337
E01001554,58.598
E01001555,41.961
E01001556,26.093
E01001557,38.959
E01001558,49.692
E01001559,42.997
E01001560,34.028
E01001562,46.589
E01001563,19.529
E01001564,10.355
E01001565,15.036
E01001566,15.801
E01001567,5.174
E01001568,3.057
E01001569,19.121
E01001570,21.263
E01001571,18.439
E01001572,19.662
E01001573,20.711
E01001574,40.635
E01001575,39.427
E01001576,33.654
E01001577,29.677
E01001578,26.648
E01001579,31.564
E01001580,10.79
E01001581,22.196
E01001582,21.967
E01001583,11.826
E01001584,8.838
E01001585,12.983
E01001586,18.939
E01001587,10.41
E01001588,29.917
E01001589,28.844
E01001590,19.061
E01001591,30.883
E01001592,11.865
E01001593,10.999
E01001594,27.934
E01001595,22.897
E01001596,6.247
E01001597,15.381
E01001598,12.161
E01001599,19.284
E01001600,17.427
E01001601,10.344
E01001602,35.203
E01001603,36.943
E01001604,15.649
E01001605,5.196
E01001606,4.764
E01001607,17.103
E01001608,9.467
E01001609,21.519
E01001610,11.641
